# Elastic line measurement
# Soleil March/2017
# Energy = 849.87 eV
# pixel 	 data 	 fit
1.022500e+02 -1.605074e+02 4.834266e+02
1.027500e+02 -1.737004e+02 4.834266e+02
1.032500e+02 -1.738934e+02 4.834266e+02
1.037500e+02 -2.430865e+02 4.834266e+02
1.042500e+02 -2.262795e+02 4.834266e+02
1.047500e+02 -7.147255e+01 4.834266e+02
1.052500e+02 -1.076656e+02 4.834266e+02
1.057500e+02 -3.585863e+01 4.834266e+02
1.062500e+02 -2.510517e+02 4.834266e+02
1.067500e+02 -1.642447e+02 4.834266e+02
1.072500e+02 -9.437742e+00 4.834266e+02
1.077500e+02 -2.046308e+02 4.834266e+02
1.082500e+02 -7.882382e+01 4.834266e+02
1.087500e+02 -2.240169e+02 4.834266e+02
1.092500e+02 -1.512099e+02 4.834266e+02
1.097500e+02 -8.040293e+01 4.834266e+02
1.102500e+02 -7.459597e+01 4.834266e+02
1.107500e+02 -1.927890e+02 4.834266e+02
1.112500e+02 -3.509820e+02 4.834266e+02
1.117500e+02 -1.511751e+02 4.834266e+02
1.122500e+02 -7.836812e+01 4.834266e+02
1.127500e+02 -2.225612e+02 4.834266e+02
1.132500e+02 -2.207542e+02 4.834266e+02
1.137500e+02 -2.649472e+02 4.834266e+02
1.142500e+02 -2.381403e+02 4.834266e+02
1.147500e+02 -8.133331e+01 4.834266e+02
1.152500e+02 -1.375263e+02 4.834266e+02
1.157500e+02 3.028062e+01 4.834266e+02
1.162500e+02 -1.229124e+02 4.834266e+02
1.167500e+02 -1.361055e+02 4.834266e+02
1.172500e+02 -1.332985e+02 4.834266e+02
1.177500e+02 -7.449153e+01 4.834266e+02
1.182500e+02 1.303154e+02 4.834266e+02
1.187500e+02 -1.378776e+02 4.834266e+02
1.192500e+02 2.892936e+01 4.834266e+02
1.197500e+02 -1.632637e+02 4.834266e+02
1.202500e+02 5.154328e+01 4.834266e+02
1.207500e+02 -1.464976e+01 4.834266e+02
1.212500e+02 -7.084279e+01 4.834266e+02
1.217500e+02 -3.503583e+01 4.834266e+02
1.222500e+02 -1.992289e+02 4.834266e+02
1.227500e+02 3.357809e+01 4.834266e+02
1.232500e+02 2.738506e+01 4.834266e+02
1.237500e+02 -1.218080e+02 4.834266e+02
1.242500e+02 -1.001019e+00 4.834266e+02
1.247500e+02 -2.619406e+01 4.834266e+02
1.252500e+02 -1.633871e+02 4.834266e+02
1.257500e+02 -1.285801e+02 4.834266e+02
1.262500e+02 -2.027732e+02 4.834266e+02
1.267500e+02 -4.966207e+00 4.834266e+02
1.272500e+02 -1.181592e+02 4.834266e+02
1.277500e+02 -1.423523e+02 4.834266e+02
1.282500e+02 -1.315453e+02 4.834266e+02
1.287500e+02 1.726164e+01 4.834266e+02
1.292500e+02 -2.093140e+01 4.834266e+02
1.297500e+02 -2.231244e+02 4.834266e+02
1.302500e+02 -2.631747e+01 4.834266e+02
1.307500e+02 -1.951051e+01 4.834266e+02
1.312500e+02 1.192965e+02 4.834266e+02
1.317500e+02 -1.368966e+02 4.834266e+02
1.322500e+02 -1.190896e+02 4.834266e+02
1.327500e+02 -6.028266e+01 4.834266e+02
1.332500e+02 -2.174757e+02 4.834266e+02
1.337500e+02 -2.866873e+01 4.834266e+02
1.342500e+02 -1.418618e+02 4.834266e+02
1.347500e+02 -3.005481e+01 4.834266e+02
1.352500e+02 -1.572478e+02 4.834266e+02
1.357500e+02 -1.694409e+02 4.834266e+02
1.362500e+02 -1.626339e+02 4.834266e+02
1.367500e+02 -1.198270e+02 4.834266e+02
1.372500e+02 -4.502000e+01 4.834266e+02
1.377500e+02 2.578697e+01 4.834266e+02
1.382500e+02 -4.840607e+01 4.834266e+02
1.387500e+02 -7.459911e+01 4.834266e+02
1.392500e+02 -1.317921e+02 4.834266e+02
1.397500e+02 -2.239852e+02 4.834266e+02
1.402500e+02 -8.317822e+01 4.834266e+02
1.407500e+02 -6.137126e+01 4.834266e+02
1.412500e+02 -8.456430e+01 4.834266e+02
1.417500e+02 1.232427e+02 4.834266e+02
1.422500e+02 -1.749504e+02 4.834266e+02
1.427500e+02 1.268566e+02 4.834266e+02
1.432500e+02 -1.023364e+02 4.834266e+02
1.437500e+02 7.947052e+01 4.834266e+02
1.442500e+02 -1.447225e+02 4.834266e+02
1.447500e+02 -3.791556e+01 4.834266e+02
1.452500e+02 -4.410860e+01 4.834266e+02
1.457500e+02 -1.753016e+02 4.834266e+02
1.462500e+02 -1.064947e+02 4.834266e+02
1.467500e+02 -1.368771e+01 4.834266e+02
1.472500e+02 -1.078807e+02 4.834266e+02
1.477500e+02 -1.570738e+02 4.834266e+02
1.482500e+02 -6.226682e+01 4.834266e+02
1.487500e+02 -5.445986e+01 4.834266e+02
1.492500e+02 -1.986529e+02 4.834266e+02
1.497500e+02 -1.378459e+02 4.834266e+02
1.502500e+02 -1.550390e+02 4.834266e+02
1.507500e+02 -9.123201e+01 4.834266e+02
1.512500e+02 -1.494250e+02 4.834266e+02
1.517500e+02 -2.746181e+02 4.834266e+02
1.522500e+02 -1.048111e+02 4.834266e+02
1.527500e+02 -1.630042e+02 4.834266e+02
1.532500e+02 -2.231972e+02 4.834266e+02
1.537500e+02 -2.390236e+00 4.834266e+02
1.542500e+02 -1.355833e+02 4.834266e+02
1.547500e+02 3.642237e+02 4.834266e+02
1.552500e+02 -3.129693e+02 4.834266e+02
1.557500e+02 1.168376e+02 4.834266e+02
1.562500e+02 -8.535542e+01 4.834266e+02
1.567500e+02 -4.854846e+01 4.834266e+02
1.572500e+02 -4.874150e+01 4.834266e+02
1.577500e+02 -6.493454e+01 4.834266e+02
1.582500e+02 -7.312757e+01 4.834266e+02
1.587500e+02 4.167939e+01 4.834266e+02
1.592500e+02 -1.545136e+02 4.834266e+02
1.597500e+02 -9.170669e+01 4.834266e+02
1.602500e+02 -3.338997e+02 4.834266e+02
1.607500e+02 3.390724e+01 4.834266e+02
1.612500e+02 -1.522858e+02 4.834266e+02
1.617500e+02 -1.404788e+02 4.834266e+02
1.622500e+02 -2.276719e+02 4.834266e+02
1.627500e+02 -7.986491e+01 4.834266e+02
1.632500e+02 -1.530580e+02 4.834266e+02
1.637500e+02 -9.325099e+01 4.834266e+02
1.642500e+02 -2.634440e+02 4.834266e+02
1.647500e+02 -4.363706e+01 4.834266e+02
1.652500e+02 -2.318301e+02 4.834266e+02
1.657500e+02 -9.002314e+01 4.834266e+02
1.662500e+02 -1.802162e+02 4.834266e+02
1.667500e+02 -1.474092e+02 4.834266e+02
1.672500e+02 -2.086023e+02 4.834266e+02
1.677500e+02 -1.747953e+02 4.834266e+02
1.682500e+02 -1.919883e+02 4.834266e+02
1.687500e+02 8.181864e+01 4.834266e+02
